lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
21-193,45-693,5.6,13.5,27.044483294605847,32.08389148533438,45.58389148533438,19.583891485334377,0.0,SfccfF,focal_length
21-193,48-664,5.6,15.0,27.009024163231977,32.14805323517634,47.14805323517634,21.14805323517634,0.0,SfccfF,focal_length
21-193,45-694,5.6,18.0,27.19405613704493,32.26059002413979,50.26059002413979,24.260590024139788,0.0,SfccfF,focal_length
21-193,48-668,5.6,18.0,27.12012928044869,32.334046582326934,50.33404658232693,24.334046582326927,0.0,SfccfF,focal_length
21-193,45-692,5.6,18.0,27.36446138989754,32.96618915978802,50.96618915978802,24.966189159788023,0.0,SfccfF,focal_length
21-193,36-682,5.6,20.0,27.12245912718541,32.17280500633069,52.17280500633069,26.17280500633069,0.0,SfccfF,focal_length
21-193,36-679,5.6,21.0,27.48470517792007,32.61710626589947,53.61710626589947,27.617106265899473,0.0,SfccfF,focal_length
21-193,19-520,5.6,21.6,27.366547533151017,32.40529091038581,54.00529091038581,28.00529091038581,0.0,SfccfF,focal_length
21-193,36-681,5.6,22.0,27.102298176788008,32.12125958317316,54.12125958317316,28.121259583173163,0.0,SfccfF,focal_length
21-193,21-201,5.6,21.6,27.664535093453352,32.79848791456359,54.39848791456359,28.39848791456359,0.0,SfccfF,focal_length
21-193,21-200,5.6,23.5,27.185248995981564,32.40031950174606,55.90031950174606,29.90031950174606,0.0,SfccfF,focal_length
21-193,19-519,5.6,23.5,27.156022722435235,32.50265163170018,56.00265163170018,30.002651631700182,0.0,SfccfF,focal_length
21-193,48-665,5.6,24.0,27.323928394360607,32.98762125210531,56.98762125210531,30.987621252105313,0.0,SfccfF,focal_length
21-193,36-683,5.6,25.0,27.069321963525123,32.27484929510692,57.27484929510692,31.274849295106918,0.0,SfccfF,focal_length
21-193,45-695,5.6,27.0,27.01492817374254,32.1420687814846,59.1420687814846,33.1420687814846,0.0,SfccfF,focal_length
21-193,36-686,5.6,27.0,27.18106417605119,32.46796046124479,59.46796046124479,33.46796046124479,0.0,SfccfF,focal_length
21-193,22-845,5.6,29.5,27.011916847902363,32.0570265015578,61.5570265015578,35.5570265015578,0.0,SfccfF,focal_length
21-193,48-025,5.6,30.0,27.032042964061823,32.04008705795685,62.04008705795685,36.04008705795685,0.0,SfccfF,focal_length
21-193,23-815,5.6,29.5,27.72842070081624,33.285620665756,62.785620665756,36.785620665756,0.0,SfccfF,focal_length
21-193,19-522,5.6,32.0,27.20870189371059,32.358727396327936,64.35872739632794,38.358727396327936,0.0,SfccfF,focal_length
21-193,19-523,5.6,32.0,27.09592492699268,32.404654625907725,64.40465462590772,38.404654625907725,0.0,SfccfF,focal_length
21-193,21-202,5.6,32.0,27.219369475232217,32.63851654516654,64.63851654516654,38.63851654516654,0.0,SfccfF,focal_length
21-193,36-689,5.6,35.0,27.194661894552414,32.56027404406004,67.56027404406004,41.56027404406004,0.0,SfccfF,focal_length
21-193,49-960,5.6,35.0,27.3333143048905,32.677463977042706,67.6774639770427,41.677463977042706,0.0,SfccfF,focal_length
21-193,48-667,5.6,36.0,27.00184567422481,32.02756654678208,68.02756654678208,42.02756654678208,0.0,SfccfF,focal_length
21-193,36-687,5.6,36.0,27.03197728042022,32.14081021222871,68.1408102122287,42.1408102122287,0.0,SfccfF,focal_length
21-193,36-680,5.6,36.0,27.04384813973631,32.153437118255766,68.15343711825577,42.153437118255766,0.0,SfccfF,focal_length
21-193,48-669,5.6,36.0,27.42139552886153,32.59871481217212,68.59871481217212,42.59871481217212,0.0,SfccfF,focal_length
21-193,48-273,5.6,38.0,27.09682647526119,32.126376984782176,70.12637698478218,44.12637698478218,0.0,SfccfF,focal_length
21-193,23-816,5.6,39.8,27.012426009320286,32.022451324710595,71.82245132471058,45.822451324710585,0.0,SfccfF,focal_length
21-193,22-846,5.6,39.8,27.04219877057785,32.03735977454549,71.83735977454549,45.83735977454549,0.0,SfccfF,focal_length
21-193,49-961,5.6,40.0,27.017812119156492,32.13487435703237,72.13487435703237,46.13487435703237,0.0,SfccfF,focal_length
21-193,36-690,5.6,40.0,27.100299808088213,32.32890376901822,72.32890376901821,46.32890376901821,0.0,SfccfF,focal_length
21-193,48-026,5.6,40.0,27.17951297240528,32.42045263238612,72.42045263238612,46.420452632386116,0.0,SfccfF,focal_length
21-193,49-962,5.6,50.0,27.05230507064277,32.137454978840815,82.13745497884082,56.13745497884082,0.0,SfccfF,focal_length
21-193,48-027,5.6,50.0,27.180314121077227,32.542061608200974,82.54206160820098,56.54206160820098,0.0,SfccfF,focal_length
21-193,48-274,5.6,50.0,27.26124499461821,32.6959549325236,82.69595493252359,56.69595493252359,0.0,SfccfF,focal_length
21-193,36-688,5.6,54.0,27.409809087149775,32.495651774160386,86.4956517741604,60.49565177416039,0.0,SfccfF,focal_length
21-193,49-963,5.6,60.0,27.18918425982461,32.36865658741023,92.36865658741024,66.36865658741024,0.0,SfccfF,focal_length
21-193,48-670,5.6,60.0,27.15442903006712,32.375787561261184,92.37578756126118,66.37578756126118,0.0,SfccfF,focal_length
21-193,36-684,5.6,72.0,27.191695993010008,32.34431742000986,104.34431742000986,78.34431742000986,0.0,SfccfF,focal_length
21-193,67-223,5.6,75.0,27.15957987131859,32.50748100321226,107.50748100321226,81.50748100321226,0.0,SfccfF,focal_length
21-193,48-275,5.6,75.0,27.058555512447818,32.79331570467747,107.79331570467748,81.79331570467748,0.0,SfccfF,focal_length
21-193,49-964,5.6,80.0,27.02978456908916,32.03271760057146,112.03271760057146,86.03271760057146,0.0,SfccfF,focal_length
21-193,36-685,5.6,84.0,27.789318673613163,32.959031415918844,116.95903141591884,90.95903141591884,0.0,SfccfF,focal_length
21-193,70-889,5.6,100.0,27.04764006803737,32.230681266853594,132.2306812668536,106.2306812668536,0.0,SfccfF,focal_length
21-193,48-028,5.6,100.0,27.16198062666232,32.30834501262164,132.30834501262166,106.30834501262166,0.0,SfccfF,focal_length
21-193,67-224,5.6,100.0,27.41620988704553,32.45598165113738,132.4559816511374,106.45598165113739,0.0,SfccfF,focal_length
21-193,48-276,5.6,100.0,27.53957298518975,32.71601023678937,132.71601023678937,106.71601023678937,0.0,SfccfF,focal_length
19-523,LA4725,32.0,75.3,27.852783203089267,58.00841550466152,133.30841550466153,107.30841550466153,0.0,SfccfF,focal_length
21-193,48-277,5.6,125.0,27.067957827713972,32.168942381057974,157.16894238105797,131.16894238105797,0.0,SfccfF,focal_length
21-193,70-890,5.6,125.0,29.63081880267136,34.84600052912279,159.8460005291228,133.8460005291228,0.0,SfccfF,focal_length
21-193,48-278,5.6,150.0,27.04591848873202,32.17680481664482,182.1768048166448,156.1768048166448,0.0,SfccfF,focal_length
21-193,67-225,5.6,150.0,27.217440311463715,34.48403536131204,184.48403536131204,158.48403536131204,0.0,SfccfF,focal_length
19-523,LA4874,32.0,150.5,27.00634482421304,56.2191636555761,206.7191636555761,180.7191636555761,0.0,SfccfF,focal_length
19-523,LA4904,32.0,150.5,27.142976217377104,57.4894900617887,207.9894900617887,181.9894900617887,0.0,SfccfF,focal_length
21-193,48-279,5.6,175.0,27.341756258834675,33.021867371453055,208.02186737145303,182.02186737145303,0.0,SfccfF,focal_length
21-193,67-226,5.6,200.0,27.430107142865005,32.50508420779744,232.50508420779744,206.50508420779744,0.0,SfccfF,focal_length
21-193,48-280,5.6,200.0,27.743154948318733,33.00303465142909,233.0030346514291,207.0030346514291,0.0,SfccfF,focal_length
19-523,LA4924,32.0,175.6,34.43418087313869,63.56989571456128,239.16989571456128,213.16989571456128,0.0,SfccfF,focal_length
19-523,LA4984,32.0,200.7,27.389962796621305,56.32081645177297,257.02081645177293,231.02081645177293,0.0,SfccfF,focal_length
19-523,LA4795,32.0,200.7,27.417592452918413,57.079856830016894,257.7798568300169,231.7798568300169,0.0,SfccfF,focal_length
21-193,48-281,5.6,250.0,27.0716903898733,32.13806166473512,282.1380616647351,256.1380616647351,0.0,SfccfF,focal_length
21-193,67-227,5.6,250.0,27.55666153949467,32.754332322851724,282.7543323228517,256.7543323228517,0.0,SfccfF,focal_length
19-523,LA4855,32.0,301.1,27.228950985960942,56.24651372451251,357.34651372451253,331.34651372451253,0.0,SfccfF,focal_length
21-193,48-282,5.6,400.0,27.213362622018565,32.58189243026379,432.5818924302638,406.5818924302638,0.0,SfccfF,focal_length
19-523,LA4782,32.0,501.8,27.226325686018708,56.12221193033588,557.9222119303358,531.9222119303358,0.0,SfccfF,focal_length
19-523,LA4745,32.0,752.6,27.78099356720196,56.5846715577328,809.1846715577328,783.1846715577328,0.0,SfccfF,focal_length
19-523,LA4716,32.0,752.6,28.14780644925953,57.1824587893625,809.7824587893625,783.7824587893625,0.0,SfccfF,focal_length
19-523,LA4663,32.0,1003.5,30.60473319883669,60.79755347936111,1064.297553479361,1038.297553479361,0.0,SfccfF,focal_length
